*.gov.ru
*.kremlin.ru
*.yandex.ru
*.lenta.ru
*.vk.com
*.facebook.com
*.mail.ru
*.ok.ru
*.odnoklassniki.ru
*.twitter.com
*.youtube.com
*.google.com
*.google.ru
*.instagram.com
*.gfs.ru
*.pfrf.ru
*.mosreg.ru
*.government.ru
*.udprf.ru
*.roskazna.ru
*.cbr.ru
*.mvd.ru
*.rosminzdrav.ru
*.mid.ru
*.mkrf.ru
*.mil.ru
*.minvostokrazvitia.ru
*.minsvyaz.ru
*.mcx.ru
*.minstroyrf.ru
*.mintrans.ru
*.rosmintrud.ru
*.minfin.ru
*.minjust.ru
*.nalog.ru
*.fsb.ru
*.rosreestr.ru
*.gks.ru
*.fsin.su
*.fsvps.ru
*.meteorf.ru
*.rupto.ru
*.rurospotrebnadzor.ru
*.roszdravnadzor.ru
*.rrostransnadzor.ru
*.fsrar.ru
*.fstrf.ru
*.fstec.ru
*.rostrud.ru
*.fedsfm.ru
*.gosnadzor.ru
*.fssprus.ru
*.rosfinnadzor.ru
*.customs.ru
*.фтс.рф
*.fapmc.ru
*.rossvyaz.ru
*.roscosmos.ru
*.fmbaros.ru
*.rosim.ru
eais.rkn.gov.ru	46.61.232.10
permkrai.ru	195.19.162.146
mid.ru	194.85.30.28
zsperm.ru	78.46.230.60
irkobl.ru	195.46.122.34
krasnodar.ru	94.127.137.132
midural.ru	62.177.47.251
government-nnov.ru	212.67.25.148
rkursk.ru	77.241.31.7
donland.ru	83.221.198.206
admtyumen.ru	109.233.224.134
samregion.ru	80.76.132.177
gsrb.ru	83.174.196.1
rosreestr.ru	195.161.118.15
glava.kbr.ru	178.208.81.191
russiatourism.ru	212.42.42.240
mkrf.ru	194.190.9.16
lenobl.ru	195.182.151.149
rossvyaz.ru	95.163.65.93
roszdravnadzor.ru	212.74.231.107
rosoboronpostavka.ru	95.163.65.66
mosreg.ru	178.20.232.44
customs.ru	62.213.68.59
admhmao.ru	178.46.185.22
minregion.ru	87.245.180.147
sistema.zapret-info.gov.ru	91.224.183.156
kurganobl.ru	91.220.137.122
bryanskobl.ru	84.42.49.86
gov.ru	95.173.128.90
vrnoblduma.ru	85.232.98.38
volganet.ru	213.234.29.44
cap.ru	195.2.214.68
meteorf.ru	212.45.26.46
zsro.ru	178.218.218.74
astrasocial.ru	62.183.104.5
udmurt.ru	84.201.244.170
kirovreg.ru	91.223.244.57
minvostokrazvitia.ru	95.143.9.247
egov-buryatia.ru	92.126.152.110
mintrans.ru	212.118.32.151
zsno.ru	81.176.76.218
admoblkaluga.ru	62.148.142.14
eao.ru	91.220.152.7
fstrf.ru	87.226.173.15
vskhakasia.ru	46.29.193.214
perm.ru	194.61.67.86
